Same Season,,,,,,,,,,,,,,
ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS
svr_gam0.0625_eps0.0625_c0.25 ,"63,28053","42,45448","87,33855","0,140997",24,winter ,,svr_gam0.25_eps0.25_c0.25      ,"18,023","13,48665","85,57655","-0,0175694",24,spring 
svr_gam0.0625_eps0.25_c0.25   ,"63,28053","42,45448","87,33855","0,140997",24,winter ,,svr_gam0.000977_eps0.0625_c16  ,"18,06809","12,89727","70,35401","-0,0226667",24,spring 
svr_gam0.0156_eps0.25_c16     ,"65,46453","47,21597","95,51633","0,0806803",24,winter ,,svr_gam0.000977_eps0.25_c16    ,"18,06809","12,89727","70,35401","-0,0226667",24,spring 
svr_gam0.25_eps0.25_c16       ,"69,24082","50,57247","138,38257","-0,0284399",24,winter ,,svr_gam0.0156_eps0.25_c1       ,"18,19593","13,557","81,81917","-0,0371894",24,spring 
svr_gam0.25_eps1_c16          ,"69,24082","50,57247","138,38257","-0,0284399",24,winter ,,svr_gam0.0156_eps1_c1          ,"18,19593","13,557","81,81917","-0,0371894",24,spring 
svr_gam0.25_eps0.0625_c64     ,"69,25601","50,55143","138,12752","-0,028891",24,winter ,,svr_gam0.25_eps1_c1            ,"18,58576","14,64286","98,16549","-0,0821081",24,spring 
svr_gam0.25_eps1_c4           ,"69,26562","50,56933","138,23534","-0,0291768",24,winter ,,svr_gam0.25_eps0.0625_c1       ,"18,58576","14,64286","98,16549","-0,0821081",24,spring 
svr_gam0.25_eps0.0625_c4      ,"69,26562","50,56933","138,23534","-0,0291768",24,winter ,,svr_gam4_eps1_c64              ,"18,71658","14,73841","99,21211","-0,0973946",24,spring 
svr_gam0.25_eps0.25_c1020     ,"69,2685","50,54082","137,97701","-0,0292621",24,winter ,,svr_gam4_eps0.0625_c1020       ,"18,71658","14,73841","99,21211","-0,0973946",24,spring 
svr_gam0.25_eps1_c256         ,"69,2685","50,54082","137,97701","-0,0292621",24,winter ,,svr_gam4_eps1_c16              ,"18,71658","14,73841","99,21211","-0,0973946",24,spring 
svr_gam0.25_eps0.0625_c1020   ,"69,2685","50,54082","137,97701","-0,0292621",24,winter ,,svr_gam4_eps0.25_c1020         ,"18,71658","14,73841","99,21211","-0,0973946",24,spring 
svr_gam0.25_eps0.25_c1        ,"69,92415","50,28168","132,29124","-0,0488392",24,winter ,,svr_gam1_eps1_c64              ,"18,83549","14,9249","101,03123","-0,1113824",24,spring 
svr_gam1_eps1_c4              ,"70,50612","51,31064","139,14475","-0,0663705",24,winter ,,svr_gam1_eps0.25_c64           ,"18,83549","14,9249","101,03123","-0,1113824",24,spring 
svr_gam1_eps0.0625_c4         ,"70,50612","51,31064","139,14475","-0,0663705",24,winter ,,svr_gam1_eps0.25_c1020         ,"18,83549","14,9249","101,03123","-0,1113824",24,spring 
svr_gam1_eps0.25_c64          ,"70,50613","51,30929","139,13256","-0,0663708",24,winter ,,svr_gam1_eps1_c16              ,"18,83552","14,92494","101,03152","-0,1113857",24,spring 
svr_gam1_eps0.25_c1020        ,"70,50613","51,30929","139,13256","-0,0663708",24,winter ,,svr_gam0.25_eps0.0625_c256     ,"18,87676","15,19976","103,84168","-0,1162588",24,spring 
svr_gam1_eps1_c16             ,"70,50613","51,30929","139,13256","-0,0663708",24,winter ,,svr_gam0.25_eps0.25_c16        ,"18,87737","15,20086","103,84998","-0,1163304",24,spring 
svr_gam1_eps0.0625_c64        ,"70,50613","51,30929","139,13256","-0,0663708",24,winter ,,svr_gam0.25_eps0.0625_c16      ,"18,87737","15,20086","103,84998","-0,1163304",24,spring 
svr_gam1_eps0.25_c256         ,"70,50613","51,30929","139,13256","-0,0663708",24,winter ,,svr_gam0.00391_eps0.25_c4      ,"19,80453","14,2172","84,79839","-0,2286805",24,spring 
svr_gam4_eps1_c4              ,"70,52928","51,19146","137,88723","-0,067071",24,winter ,,svr_gam0.00391_eps0.0625_c4    ,"19,80453","14,2172","84,79839","-0,2286805",24,spring 
svr_gam4_eps1_c16             ,"70,52948","51,20093","137,97127","-0,0670771",24,winter ,,svr_gam0.0156_eps0.25_c4       ,"21,46858","16,10228","101,91175","-0,4438314",24,spring 
svr_gam4_eps1_c1020           ,"70,52948","51,20093","137,97127","-0,0670771",24,winter ,,svr_gam0.000977_eps0.25_c64    ,"22,17223","15,54489","91,60951","-0,5400284",24,spring 
svr_gam4_eps0.0625_c16        ,"70,52948","51,20093","137,97127","-0,0670771",24,winter ,,svr_gam0.000977_eps1_c64       ,"22,17223","15,54489","91,60951","-0,5400284",24,spring 
svr_gam4_eps0.25_c64          ,"70,52948","51,20093","137,97127","-0,0670771",24,winter ,,svr_gam0.0156_eps1_c16         ,"22,19643","16,99732","107,97788","-0,5433911",24,spring 
svr_gam1_eps0.0625_c1         ,"71,12759","50,58119","129,41013","-0,0852521",24,winter ,,svr_gam0.0156_eps0.25_c256     ,"26,53067","20,92078","125,27929","-1,2049883",24,spring 
svr_gam4_eps0.25_c1           ,"71,71635","50,20427","122,65513","-0,1032927",24,winter ,,svr_gam0.0156_eps0.0625_c256   ,"26,53067","20,92078","125,27929","-1,2049883",24,spring 
svr_gam4_eps1_c1              ,"71,71635","50,20427","122,65513","-0,1032927",24,winter ,,svr_gam0.00391_eps0.0625_c16   ,"28,35342","19,18944","119,80125","-1,5183767",24,spring 
svr_gam1_eps0.25_c0.25        ,"73,41456","49,94379","109,10172","-0,1561624",24,winter ,,svr_gam0.00391_eps1_c16        ,"28,35342","19,18944","119,80125","-1,5183767",24,spring 
svr_gam1_eps0.0625_c0.25      ,"73,41456","49,94379","109,10172","-0,1561624",24,winter ,,svr_gam0.0156_eps0.0625_c1020  ,"30,31674","24,10583","143,81202","-1,8792191",24,spring 
svr_gam0.000977_eps1_c1020    ,"74,26028","55,54369","144,83676","-0,1829532",24,winter ,,svr_gam0.00391_eps1_c256       ,"32,24831","22,92359","140,32866","-2,2577939",24,spring 
svr_gam0.0156_eps0.0625_c256  ,"78,724","57,66979","133,65385","-0,3294401",24,winter ,,svr_gam0.00391_eps0.25_c256    ,"32,24831","22,92359","140,32866","-2,2577939",24,spring 
svr_gam0.00391_eps1_c256      ,"83,8041","61,24007","152,07199","-0,506555",24,winter ,,svr_gam0.00391_eps0.0625_c64   ,"32,76205","22,17696","138,86295","-2,3624204",24,spring 
svr_gam0.00391_eps0.25_c1020  ,"97,0731","71,67656","180,37692","-1,0213998",24,winter ,,svr_gam0.00391_eps0.0625_c1020 ,"40,2767","28,66781","159,80315","-4,0817996",24,spring 
,,,,,,,,,,,,,,
MIN,"55,77505","37,9557","67,26167","-1,0213998",,,,MIN,"16,0718","11,32602","59,82251","-4,0817996",,
MAX,"97,0731","71,67656","180,37692","0,3326796",,,,MAX,"40,2767","28,66781","159,80315","0,1577985",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODEL                           ,      RMSE,       MAE,      MAPE,         R2, FUTURE_LAG,SEASON ,,MODEL                           ,     RMSE,      MAE,      MAPE,         R2, FUTURE_LAG,SEASON 
svr_gam0.000244_eps0.5_c0.25    ,"8,5993","6,765152","51,18965","0,1984555",24,summer ,,svr_gam0.000244_eps0.5_c16      ,"26,59559","18,56401","58,1611","0,1686913",24,autumn 
svr_gam0.000977_eps0.125_c1     ,"8,709371","6,70962","49,71234","0,1778046",24,summer ,,svr_gam0.000244_eps2_c16        ,"26,59559","18,56401","58,1611","0,1686913",24,autumn 
svr_gam0.00391_eps0.0312_c0.25  ,"8,750159","6,777722","51,6957","0,1700855",24,summer ,,svr_gam0.000244_eps2_c64        ,"26,65537","18,58304","57,88676","0,1649495",24,autumn 
